date,PS_OL(tonVS),FWW_OL(tonVS),Digester B_TS(%),Digester B_VS(%),Digester B_CH4(%),Digester B_CO2(%),Digester B_H2S,Biogas B
2019-01-09,4.3998862343572505,13.090448013524943,0.0295199182839632,0.013534218590398212,,,,14644.0
2019-01-10,4.612499999999965,12.139722346618871,0.02942475921180527,0.013386940001767133,,,,15673.0
2019-01-11,4.312499999999967,11.249210436810644,0.02832566294104753,0.013532763532763526,,,,14666.0
2019-01-12,4.499999999999966,11.881978523881243,0.0304016802310318,0.015594644263586276,,,,15002.0
2019-01-13,2.399999999999982,11.10859530635051,0.03123444499751091,0.01642608262817296,0.621,0.387,56.0,14267.0
2019-01-14,1.5374999999999885,13.569360089402839,0.03123444499751091,0.01642608262817296,,,,13739.5
2019-01-15,3.8249999999999713,13.217822263252506,0.03123444499751091,0.01642608262817296,,,,14653.5
2019-01-16,6.861121223152529,8.103015075376879,0.03110178766873397,0.016052535570959515,,,,14587.5
2019-01-17,6.22809,14.400794520000002,0.0382,0.021392,0.635,0.38,50.0,14306.5
2019-01-18,6.804765,12.459114360000001,0.0382,0.021392,,,,13916.5
2019-01-19,6.22809,12.05459766,0.0382,0.021392,,,,13582.0
2019-01-20,5.99742,13.18724442,0.0382,0.021392,,,,12510.0
2019-01-21,6.170422500000001,14.158084500000001,0.0382,0.021392,,,,14563.5
2019-01-22,6.285757499999999,13.18724442,0.0382,0.021392,0.63,0.379,48.0,14593.0
2019-01-23,6.804765,15.776151299999999,0.0382,0.021392,,,,15478.5
2019-01-24,3.729987293519703,6.502222992089616,0.02647381337789138,0.01143543418098259,,,,15356.5
2019-01-25,3.2229987293519766,5.198453748570803,0.02647381337789138,0.01143543418098259,,,,14799.0
2019-01-26,3.8748411689961966,6.036914030598352,0.02647381337789138,0.01143543418098259,,,,14262.5
2019-01-27,3.0781448538754836,6.674143844939288,0.02647381337789138,0.01143543418098259,,,,14916.0
2019-01-28,4.418043202033047,5.936298796755046,0.02647381337789138,0.01143543418098259,,,,14470.0
2019-01-29,8.06284416,11.959408699866733,0.0302,0.01433292,,,,15851.0
2019-01-30,6.189157942064339,12.22815945716711,0.0302,0.014767800000000001,,,,16079.0
2019-01-31,4.026510832383124,10.379815888169087,0.0303,0.0151197,,,,15153.5
2019-02-01,4.062143671607754,10.56085918854413,0.0303,0.0151197,0.619,0.389,52.0,14664.0
2019-02-02,4.097776510832383,11.948857824752787,0.0303,0.0151197,,,,15667.5
2019-02-03,3.278221208665906,10.138424821002365,0.0303,0.0151197,,,,14903.0
2019-02-04,4.169042189281642,10.379815888169087,0.0303,0.0151197,,,,14770.5
2019-02-05,3.8839794754846064,4.707125809751098,0.0303,0.0151197,,,,10740.0
2019-02-06,5.658605974395426,7.024807030000001,0.0322,0.01628998,,,,10368.0
2019-02-07,9.140825035561843,11.457937679999999,0.0322,0.01628998,,,,13075.5
2019-02-08,7.883357041251748,14.11781607,0.0322,0.01628998,0.618,0.395,58.0,14976.0
2019-02-09,8.221906116642927,12.20815979,0.0322,0.01628998,,,,16111.0
2019-02-10,5.852062588904672,12.13995778,0.0322,0.01628998,0.615,0.391,55.0,15550.5
2019-02-11,5.202394526795895,11.043641322877576,0.0303,0.0151197,,,,15033.5
2019-02-12,4.739167616875713,10.802250255710852,0.0303,0.0151197,,,,14742.0
2019-02-13,7.20625889046939,12.75377587,0.0322,0.01628998,,,,14782.5
2019-02-14,5.513513513513492,13.36759396,0.0322,0.01628998,,,,14708.0
2019-02-15,5.271692745376936,12.958381900000001,0.0322,0.01628998,0.618,0.395,58.0,14928.0
2019-02-16,4.884779516358445,12.003553759999999,0.0322,0.01628998,,,,14568.5
2019-02-17,4.401137980085331,10.571311549999999,0.0322,0.01628998,0.615,0.391,55.0,14103.5
2019-02-18,2.921892816419612,9.474599386293876,0.0303,0.0151197,,,,13706.5
2019-02-19,3.278221208665906,9.595294919877238,0.0303,0.0151197,,,,13337.0
2019-02-20,5.320056899004247,12.13995778,0.0322,0.01628998,0.616,0.392,57.0,14091.0
2019-02-21,5.223328591749625,12.2763618,0.0322,0.01628998,,,,14586.5
2019-02-22,4.739687055476511,12.75377587,0.0322,0.01628998,,,,14647.5
2019-02-23,5.07823613086769,12.34456381,0.0322,0.01628998,,,,15277.0
2019-02-24,5.126600284495002,11.73074572,0.0322,0.01628998,,,,15679.5
2019-02-25,4.561003420752566,10.922945789294214,0.0303,0.0151197,,,,15919.5
2019-02-26,4.133409350057013,10.741902488919171,0.0303,0.0151197,,,,16089.5
2019-02-27,4.739687055476511,12.003553759999999,0.0322,0.01628998,0.62,0.3779999999999999,53.0,15694.5
